timestamp,source_ip,username,action
2026-03-27 03:14:07,192.168.1.77,alice,login_success
2026-03-27 03:16:07,192.168.1.77,alice,sudo
2026-03-27 03:19:07,192.168.1.77,alice,logout
2026-03-27 05:00:00,10.99.0.13,dave,login_failure
2026-03-27 05:00:03,10.99.0.13,bob,login_failure
2026-03-27 05:00:06,10.99.0.13,eve,login_failure
2026-03-27 05:00:09,10.99.0.13,scanner,login_failure
2026-03-27 05:00:12,10.99.0.13,alice,login_failure
2026-03-27 05:00:15,10.99.0.13,eve,login_failure
2026-03-27 05:00:18,10.99.0.13,alice,login_failure
2026-03-27 05:00:21,10.99.0.13,alice,login_failure
2026-03-27 05:00:24,10.99.0.13,scanner,login_failure
2026-03-27 05:00:27,10.99.0.13,alice,login_failure
2026-03-27 05:00:30,10.99.0.13,alice,login_failure
2026-03-27 05:00:33,10.99.0.13,dave,login_failure
2026-03-27 05:00:36,10.99.0.13,bob,login_failure
2026-03-27 05:00:39,10.99.0.13,scanner,login_failure
2026-03-27 05:00:42,10.99.0.13,bob,login_failure
2026-03-27 05:00:45,10.99.0.13,alice,login_failure
2026-03-27 05:00:48,10.99.0.13,scanner,login_failure
2026-03-27 05:00:51,10.99.0.13,bob,login_failure
2026-03-27 05:00:54,10.99.0.13,alice,login_failure
2026-03-27 05:00:57,10.99.0.13,bob,login_failure
2026-03-27 05:01:00,10.99.0.13,eve,login_failure
2026-03-27 05:01:03,10.99.0.13,dave,login_failure
2026-03-27 05:01:06,10.99.0.13,carol,login_failure
2026-03-27 05:01:09,10.99.0.13,alice,login_failure
2026-03-27 05:01:12,10.99.0.13,eve,login_failure
2026-03-27 05:01:15,10.99.0.13,scanner,login_failure
2026-03-27 05:01:18,10.99.0.13,scanner,login_failure
2026-03-27 05:01:21,10.99.0.13,eve,login_failure
2026-03-27 05:01:24,10.99.0.13,dave,login_failure
2026-03-27 05:01:27,10.99.0.13,scanner,login_failure
2026-03-27 05:01:30,10.99.0.13,dave,login_failure
2026-03-27 05:01:33,10.99.0.13,alice,login_failure
2026-03-27 05:01:36,10.99.0.13,alice,login_failure
